Author,Title,Author_lastname,description,printType,pageCount,categories,maturityRating,infoLink,averageRating,ratingsCount,ISBN_10,ISBN_13,Published_Google,Original_Title
"Hopkins, Ellen",Crank,Hopkins,"The complete New York Times bestselling Crank trilogy is now available with exclusive bonus content. This boxed set makes a perfect gift and features trade paperback editions of Crank, Glass, and Fallout with striking new covers and special bonus content, including an essay from author Ellen Hopkins on the true story behind Crank and an essay from her daughter, the real “Kristina.” In Crank you’ll meet Kristina—and Kristina will meet crank. Acting under the guise of her alter ego, Bree, Kristina explores drugs, sex, and her own dark side. A new mother struggling—and failing—to stay clean, Kristina’s downward spiral continues in Glass, and the outcome is chronicled in Fallout, which follows the lives of three of her children. They find themselves pulled toward the one person who links them together, yet discover that it is in each other, and in themselves, that they find the trust, the courage, the hope to break the cycle. This stunning trilogy from a master poet and #1 New York Times bestselling author with nearly 3.5 million books in print is a testament to the harsh reality that addiction is never just one person’s problem.",BOOK,1952,['Juvenile Fiction'],NOT_MATURE,http://books.google.com/books?id=vi6umQEACAAJ&dq=Crank+inauthor:Hopkins&hl=&source=gbs_api,,,1442499591,9781442499591,2013-10-15,Crank (Crank Series)
"Arnold, Elana K.",Damsel,Arnold,"*A 2019 Michael L. Printz Award Honor Book* A dark, twisted, unforgettable fairy tale from Elana K. Arnold, author of the National Book Award finalist What Girls Are Made Of The rite has existed for as long as anyone can remember: When the king dies, his son the prince must venture out into the gray lands, slay a fierce dragon, and rescue a damsel to be his bride. This is the way things have always been. When Ama wakes in the arms of Prince Emory, she knows none of this. She has no memory of what came before she was captured by the dragon or what horrors she faced in its lair. She knows only this handsome young man, the story he tells of her rescue, and her destiny of sitting on a throne beside him. It's all like a dream, like something from a fairy tale. As Ama follows Emory to the kingdom of Harding, however, she discovers that not all is as it seems. There is more to the legends of the dragons and the damsels than anyone knows, and the greatest threats may not be behind her, but around her, now, and closing in.",BOOK,336,,NOT_MATURE,http://books.google.com/books?id=W_sKxQEACAAJ&dq=Damsel+inauthor:Arnold&hl=&source=gbs_api,3.5,8,0062742337,9780062742339,2020-01-28,Damsel
"Maas, Sarah J.",Empire of Storms,Maas,"'One of the best fantasy book series of the past decade' TIME Only the greatest sacrifice can turn the tide of war. War is brewing in the fifth book of the #1 bestselling Throne of Glass series by Sarah J. Maas. The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves increasingly at odds with those who don't. With her heart sworn to the warrior-prince by her side and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, dark forces stand poised to claim her world. The only chance for salvation lies in a desperate quest that may take more from Aelin than she has to give, a quest that forces her to choose what - and who -she's willing to sacrifice for the sake of peace. Kingdoms collide in this fifth book in the #1 New York Times bestselling Throne of Glass series.",BOOK,713,['Fiction'],NOT_MATURE,http://books.google.com/books?id=dMwAEAAAQBAJ&dq=Empire+of+Storms+inauthor:Maas&hl=&source=gbs_api,,,1526634406,9781526634405,2020-10-01,Empire of Storms (Throne of Glass Series)
"Blume, Judy",Forever...,Blume,"Do you remember the first time?Forever is still the bravest, freshest, fruitiest and most honest account of first love, first sex and first heartbreak ever written for teens. It was a book ahead of its time - and remains, after forty years in print, a teenage bestseller from the award-winning Judy Blume.With a gorgeous cover, Forever is a teen classic ripe for a new generation of readers.",BOOK,208,['Constancy'],NOT_MATURE,http://books.google.com/books?id=skf2oQEACAAJ&dq=Forever...+inauthor:Blume&hl=&source=gbs_api,4,28,1447281047,9781447281047,2015-03-01,Forever...
"Maas, Sarah J.",House of Earth and Blood,Maas,"Think Game of Thrones meets Buffy the Vampire Slayer with a drizzle of E.L. James - Telegraph Perfect for fans of Jessica Jones and True Blood, this is a blockbuster modern fantasy set in a divided world where one woman must uncover the truth to seek her revenge. Half-Fae, half-human Bryce Quinlan loves her life. Every night is a party and Bryce is going to savour all the pleasures Lunathion – also known as Crescent City – has to offer. But then a brutal murder shakes the very foundations of the city, and brings Bryce's world crashing down. Two years later, Bryce still haunts the city's most notorious nightclubs – but seeking only oblivion now. Then the murderer attacks again. And when an infamous Fallen angel, Hunt Athalar, is assigned to watch her every footstep, Bryce knows she can't forget any longer. As Bryce and Hunt fight to unravel the mystery, and their own dark pasts, the threads they tug ripple through the underbelly of the city, across warring continents, and down to the deepest levels of Hel, where things that have been sleeping for millennia are beginning to stir ... With unforgettable characters and page-turning suspense, this richly inventive new fantasy series by #1 New York Times bestselling author Sarah J. Maas delves into the heartache of loss, the price of freedom – and the power of love.",BOOK,648,['Fiction'],NOT_MATURE,http://books.google.com/books?id=gswAEAAAQBAJ&dq=House+of+Earth+and+Blood+inauthor:Maas&hl=&source=gbs_api,4,17,1526634422,9781526634429,2020-10-01,House of Earth and Blood (Crescent City Series)
"Maas, Sarah J.",House of Sky and Breath,Maas,,BOOK,,,NOT_MATURE,http://books.google.com/books?id=-jMMzwEACAAJ&dq=House+of+Sky+and+Breath+inauthor:Maas&hl=&source=gbs_api,4,4,1526628228,9781526628220,2023,House of Sky and Breath (Crescent City Series)
"Arnold, Elana K.",Infandous,Arnold,"Seventeen-year-old Sephora, a surfer and artist who loves fairy tales and mythology, struggles with a secret so horrible she cannot speak it aloud, especially not to her beautiful, single mother, although they have always been unusually close.",BOOK,212,['Juvenile Fiction'],NOT_MATURE,http://books.google.com/books?id=bpCiDwAAQBAJ&dq=Infandous+inauthor:Arnold&hl=&source=gbs_api,4,1,1512441465,9781512441468,2017-04,Infandous
"Scheeres, Julia",Jesus Land: A Memoir,Scheeres,"""A page turner . . . heart–stopping and enraging . . . focused, justified, and without a trace of self–pity. Shot through with poignancy."" —The New York Times Book Review Over a decade after its first publication, Jesus Land remains deeply resonant with readers. This New York Times bestselling memoir is a gripping tale of rage and redemption, hope and humor, morality and malice—and most of all, the truth: that being a good person takes more than just going to church. Julia and her adopted brother, David, are sixteen years old. Julia is white. David is black. It is the mid–1980s and their family has just moved to rural Indiana, a landscape of cottonwood trees, trailer parks, and an all–encompassing racism. At home are a distant mother—more involved with her church's missionaries than her own children—and a violent father. In this riveting and heartrending memoir Julia Scheeres takes us from the Midwest to a place beyond imagining. Surrounded by natural beauty, Escuela Caribe—a religious reform school in the Dominican Republic—is characterized by a disciplinary regime that extracts repentance from its students by any means necessary. Julia and David strive to make it through these ordeals and their tale is relayed here with startling immediacy, extreme candor, and wry humor.",BOOK,0,['Biography & Autobiography'],NOT_MATURE,http://books.google.com/books?id=hp2QEAAAQBAJ&dq=Jesus+Land+inauthor:Scheeres&hl=&source=gbs_api,,,1640092161,9781640092167,2019-06-11,Jesus Land: A Memoir
"Lo, Malinda",Last Night at the Telegraph Club,Lo,"Winner of the National Book Award A New York Times Bestseller ""The queer romance we’ve been waiting for.”—Ms. Magazine Seventeen-year-old Lily Hu can't remember exactly when the feeling took root—that desire to look, to move closer, to touch. Whenever it started growing, it definitely bloomed the moment she and Kathleen Miller walked under the flashing neon sign of a lesbian bar called the Telegraph Club. Suddenly everything seemed possible. But America in 1954 is not a safe place for two girls to fall in love, especially not in Chinatown. Red-Scare paranoia threatens everyone, including Chinese Americans like Lily. With deportation looming over her father—despite his hard-won citizenship—Lily and Kath risk everything to let their love see the light of day. (Cover image may vary.)",BOOK,418,['Young Adult Fiction'],NOT_MATURE,http://books.google.com/books?id=gmEQEAAAQBAJ&dq=Last+Night+at+the+Telegraph+Club+inauthor:Lo&hl=&source=gbs_api,4,11,0525555250,9780525555254,2021-01-19,Last Night at the Telegraph Club
"Scott, Elizabeth",Living Dead Girl,Scott,"After being abducted when she was ten and abused for five years by her kidnapper, Ray, Alice's only hope of freedom is in death, but her only way to achieve such an escape is to help Ray find the next girl for his collection.",BOOK,180,['Juvenile Fiction'],NOT_MATURE,http://books.google.com/books?id=V9doQLCFYf8C&dq=Living+Dead+Girl+inauthor:Scott&hl=&source=gbs_api,4,104,1416960600,9781416960607,2009-09-08,Living Dead Girl
"Sebold, Alice",Lucky,Sebold,"An acclaimed journalist shares the gripping story of her rape when she was a college freshman, achieving justice in the courtroom, and triumphing in the face of violence.",BOOK,288,['Biography & Autobiography'],NOT_MATURE,http://books.google.com/books?id=iWi9DgAAQBAJ&dq=Lucky+inauthor:Sebold&hl=&source=gbs_api,4,79,1501171631,9781501171635,2017-05-02,Lucky
"Kaur, Rupi",Milk and Honey,Kaur,"Available for the first time, #1 New York Times bestselling author, rupi kaur, presents a gorgeous boxed set of her books milk and honey and the sun and her flowers. Global sensation and internationally renowned author - rupi kaur's milk and honey celebrates the challenges and triumphs facing the modern woman. In strikingly personal, yet widely relatable poems accompanied by original illustrations, kaur challenges the idea that women should be quiet, gentle, and submissive and instead encourages women to be strong, powerful, and proud. Each of the four chapters (""the hurting,"" ""the loving,"" ""the breaking,"" and ""the healing"") serves a different purpose and explores the many kinds of pain and healing of life's experiences. From breakups to trauma, kaur leads readers through life's most bitter moments to find their hidden sweetness. Paired with milk and honey in this exquisite boxed set: the sun and her flowers, a vibrant and transcendent journey about growth and healing. Ancestry and honouring one's roots. Expatriation and rising up to find a home within yourself. Divided into five chapters and illustrated in kaur's signature style, the sun and her flowers is a journey of wilting, falling, rooting, rising, and blooming. A celebration of love in all its forms.",BOOK,,['Poetry'],NOT_MATURE,http://books.google.com/books?id=dXI-ygEACAAJ&dq=Milk+and+Honey+inauthor:Kaur&hl=&source=gbs_api,,,1524858161,9781524858162,2019-11-12,Milk and Honey
"Jackson, Tiffany D.",Monday's Not Coming,Jackson,"""Jackson’s characters and their heart-wrenching story linger long after the final page, urging readers to advocate for those who are disenfranchised and forgotten by society and the system."" (Publishers Weekly, ""An Anti-Racist Children's and YA Reading List"") From the critically acclaimed author of Allegedly, Tiffany D. Jackson, comes a gripping novel about the mystery of one teenage girl’s disappearance and the traumatic effects of the truth. Monday Charles is missing, and only Claudia seems to notice. Claudia and Monday have always been inseparable—more sisters than friends. So when Monday doesn’t turn up for the first day of school, Claudia’s worried. When she doesn’t show for the second day, or second week, Claudia knows that something is wrong. Monday wouldn’t just leave her to endure tests and bullies alone. Not after last year’s rumors and not with her grades on the line. Now Claudia needs her best—and only—friend more than ever. But Monday’s mother refuses to give Claudia a straight answer, and Monday’s sister April is even less help. As Claudia digs deeper into her friend’s disappearance, she discovers that no one seems to remember the last time they saw Monday. How can a teenage girl just vanish without anyone noticing that she’s gone?",BOOK,368,['Young Adult Fiction'],NOT_MATURE,https://play.google.com/store/books/details?id=ur0wDwAAQBAJ&source=gbs_api,4,17,0062422693,9780062422699,2018-05-22,Monday's Not Coming
"Rooney, Sally",Normal People,Rooney,"NOW AN EMMY-NOMINATED HULU ORIGINAL SERIES • NEW YORK TIMES BESTSELLER • “A stunning novel about the transformative power of relationships” (People) from the author of Conversations with Friends, “a master of the literary page-turner” (J. Courtney Sullivan). ONE OF THE TEN BEST NOVELS OF THE DECADE—Entertainment Weekly TEN BEST BOOKS OF THE YEAR—People, Slate, The New York Public Library, Harvard Crimson AND BEST BOOKS OF THE YEAR—The New York Times, The New York Times Book Review, O: The Oprah Magazine, Time, NPR, The Washington Post, Vogue, Esquire, Glamour, Elle, Marie Claire, Vox, The Paris Review, Good Housekeeping, Town & Country Connell and Marianne grew up in the same small town, but the similarities end there. At school, Connell is popular and well liked, while Marianne is a loner. But when the two strike up a conversation—awkward but electrifying—something life changing begins. A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years at university, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. And as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other. Normal People is the story of mutual fascination, friendship and love. It takes us from that first conversation to the years beyond, in the company of two people who try to stay apart but find that they can’t. Praise for Normal People “[A] novel that demands to be read compulsively, in one sitting.”—The Washington Post “Arguably the buzziest novel of the season, Sally Rooney’s elegant sophomore effort . . . is a worthy successor to Conversations with Friends. Here, again, she unflinchingly explores class dynamics and young love with wit and nuance.”—The Wall Street Journal “[Rooney] has been hailed as the first great millennial novelist for her stories of love and late capitalism. . . . [She writes] some of the best dialogue I’ve read.”—The New Yorker",BOOK,239,['Fiction'],NOT_MATURE,https://play.google.com/store/books/details?id=kwBlDwAAQBAJ&source=gbs_api,3.5,84,1984822195,9781984822192,2019-04-16,Normal People
"Smyth, Ciara",Not My Problem,Smyth,"Perfect for fans of Becky Albertalli and Nina LaCour, this queer coming-of-age story from the author of The Falling in Love Montage is wry, multilayered, and unflinchingly honest. Aideen has plenty of problems she can’t solve. But when she stumbles upon overachiever Meabh Kowalska having a full-blown meltdown, she sees one that she can actually fix. Meabh is desperate to escape her crushing pile of extracurriculars. Aideen volunteers to help—by pushing her down the stairs. Problem? Solved. Meabh’s sprained ankle is the perfect excuse to ditch her overwhelming schedule. But when one of their classmates learns about their little scheme, more “clients” start asking for Aideen’s “help”—kicking off a semester of traded favors, ill-advised hijinks, and even an unexpected chance at love. Fixing other people’s problems won’t fix her own. But it might be the push Aideen needs to start.",BOOK,368,['Young Adult Fiction'],NOT_MATURE,https://play.google.com/store/books/details?id=Si35DwAAQBAJ&source=gbs_api,4,3,0062957163,9780062957160,2021-05-25,Not My Problem
"Pérez, Ashley Hope",Out of Darkness,Pérez,"The novel chronicles a love affair between a teenage Mexican American girl and a teenage African-American boy in 1930's New London, Texas, occuring right up to the 1937 New London School explosion.",BOOK,412,['Juvenile Fiction'],NOT_MATURE,http://books.google.com/books?id=a4rJCQAAQBAJ&dq=Out+of+Darkness+inauthor:P%C3%A9rez&hl=&source=gbs_api,,,1467742023,9781467742023,2015,Out of Darkness
"Hopkins, Ellen",People Kill People,Hopkins,"“Fall’s most provocative YA read.” —Entertainment Weekly A New York Times bestseller. Someone will shoot. And someone will die. A compelling and complex novel about gun violence and white supremacy from #1 New York Times bestselling author Ellen Hopkins. People kill people. Guns just make it easier. A gun is sold in the classifieds after killing a spouse, bought by a teenager for needed protection. But which was it? Each has the incentive to pick up a gun, to fire it. Was it Rand or Cami, married teenagers with a young son? Was it Silas or Ashlyn, members of a white supremacist youth organization? Daniel, who fears retaliation because of his race, who possessively clings to Grace, the love of his life? Or Noelle, who lost everything after a devastating accident, and has sunk quietly into depression? One tense week brings all six people into close contact in a town wrought with political and personal tensions. Someone will fire. And someone will die. But who?",BOOK,448,['Young Adult Fiction'],NOT_MATURE,http://books.google.com/books?id=o8ALygEACAAJ&dq=People+Kill+People+inauthor:Hopkins&hl=&source=gbs_api,3,3,1481442937,9781481442930,2018-09-04,People Kill People
Sapphire,Push,Sapphire,"A courageous and determined young teacher opens up a new world of hope and redemption for sixteen-year-old Precious Jones, an abused young African-American girl living in Harlem, who was raped and left pregnant by her father. Reprint. 75,000 first printing.",BOOK,196,['Fiction'],NOT_MATURE,http://books.google.com/books?id=FDF4KVrL4pMC&dq=Push+inauthor:Sapphire&hl=&source=gbs_api,4,214,0679766758,9780679766759,1996,Push
"Arnold, Elana K.",Red Hood,Arnold,"A dark, engrossing, blood-drenched tale of the familiar threats to female power--and one girl's journey to regain it. Five starred reviews greeted this powerful story from Elana K. Arnold, author of the Printz Honor winner Damsel. You are alone in the woods, seen only by the unblinking yellow moon. Your hands are empty. You are nearly naked. And the wolf is angry. Since her grandmother became her caretaker when she was four years old, Bisou Martel has lived a quiet life in a little house in Seattle. She's kept mostly to herself. She's been good. But then comes the night of homecoming, when she finds herself running for her life over roots and between trees, a fury of claws and teeth behind her. A wolf attacks. Bisou fights back. A new moon rises. And with it, questions. About the blood in Bisou's past, and on her hands as she stumbles home. About broken boys and vicious wolves. About girls lost in the woods--frightened, but not alone.",BOOK,368,,NOT_MATURE,http://books.google.com/books?id=_gjfzQEACAAJ&dq=Red+Hood+inauthor:Arnold&hl=&source=gbs_api,4,5,0062742361,9780062742360,2021-08-04,Red Hood
"Vonnegut Jr., Kurt",Slaughterhouse-Five,Vonnegut Jr.,"Kurt Vonnegut’s masterpiece, Slaughterhouse-Five is “a desperate, painfully honest attempt to confront the monstrous crimes of the twentieth century” (Time). Selected by the Modern Library as one of the 100 best novels of all time Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Authors as wide-ranging as Norman Mailer, John Irving, Michael Crichton, Tim O’Brien, Margaret Atwood, Elizabeth Strout, David Sedaris, Jennifer Egan, and J. K. Rowling have all found inspiration in Vonnegut’s words. Jonathan Safran Foer has described Vonnegut as “the kind of writer who made people—young people especially—want to write.” George Saunders has declared Vonnegut to be “the great, urgent, passionate American writer of our century, who offers us . . . a model of the kind of compassionate thinking that might yet save us from ourselves.” More than fifty years after its initial publication at the height of the Vietnam War, Vonnegut’s portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties.",BOOK,285,['Fiction'],NOT_MATURE,http://books.google.com/books?id=pWyLDQAAQBAJ&dq=Slaughterhouse-Five+inauthor:Vonnegut+Jr.&hl=&source=gbs_api,4,1807,0385333846,9780385333849,1999-01-12,Slaughterhouse-Five
"McCormick, Patricia",Sold,McCormick,Thirteen-year-old Lakshmi leaves her poor mountain home in Nepal thinking that she is to work in the city as a maid only to find that she has been sold into the sex slave trade in India and that there is no hope of escape.,BOOK,272,['Juvenile Fiction'],NOT_MATURE,http://books.google.com/books?id=Ki3inQEACAAJ&dq=Sold+inauthor:McCormick&hl=&source=gbs_api,4,102,0786851724,9780786851720,2008-04-01,Sold
"Andrews, Jesse",The Haters,Andrews,,BOOK,336,['Young Adult Fiction'],NOT_MATURE,http://books.google.com/books?id=QfFLvgAACAAJ&dq=The+Haters+inauthor:Andrews&hl=&source=gbs_api,3.5,7,1419723707,9781419723704,2017-04-04,The Haters
